iter	MultiClass
0	0.9756752955
1	0.8751922828
2	0.7919965167
3	0.7232336521
4	0.6640701039
5	0.6118419811
6	0.5674022226
7	0.5263176011
8	0.4919914485
9	0.4583854126
10	0.4288356337
11	0.4022621742
12	0.3800344754
13	0.3589796381
14	0.33844299
15	0.321562355
16	0.3042989179
17	0.2885830538
18	0.2741803046
19	0.2605507967
20	0.2489897961
21	0.237383342
22	0.2263496637
23	0.2169034328
24	0.2080495488
25	0.200111903
26	0.1923143016
27	0.1853830139
28	0.1789403715
29	0.1729466153
30	0.1669887263
31	0.161013302
32	0.1562282387
33	0.1515133182
34	0.1463655911
35	0.1423423079
36	0.1380151469
37	0.1350419073
38	0.1312809558
39	0.1283109888
40	0.1253968734
41	0.1221880646
42	0.1193850564
43	0.1166660028
44	0.1143669787
45	0.111784282
46	0.1093262869
47	0.1070413506
48	0.1049116088
49	0.1026019476
50	0.1009630621
51	0.09923846526
52	0.09759687013
53	0.09585701184
54	0.09455448714
55	0.0931058709
56	0.09171291287
57	0.09016504955
58	0.08852825159
59	0.08712119327
60	0.08601356849
61	0.08473901215
62	0.08318564951
63	0.08190381291
64	0.08087383069
65	0.08000090889
66	0.07896470011
67	0.07781920815
68	0.0765504808
69	0.07562869089
70	0.07476443991
71	0.0735207918
72	0.07272230034
73	0.07191481838
74	0.0711178131
75	0.07043822378
76	0.06970781959
77	0.06904112039
78	0.06827028448
79	0.06777628914
80	0.06683907071
81	0.06601336132
82	0.06537297609
83	0.06456670266
84	0.06389118171
85	0.06304641108
86	0.06222021866
87	0.06147500374
88	0.06099922115
89	0.06036844955
90	0.05947135615
91	0.05884453376
92	0.05824437253
93	0.0576249093
94	0.05707081385
95	0.05648958467
96	0.05589106477
97	0.0555273319
98	0.05504713409
99	0.0547147731
100	0.05417522691
101	0.05384823138
102	0.05328254528
103	0.05275858029
104	0.0526286897
105	0.0519466981
106	0.05153251488
107	0.05118269794
108	0.05077239647
109	0.05030674267
110	0.04979689602
111	0.0493223968
112	0.04892495011
113	0.04861821656
114	0.04824675242
115	0.04801465627
116	0.04766017138
117	0.04740192947
118	0.04700601326
119	0.04639703131
120	0.0460225586
121	0.04578839595
122	0.04530808492
123	0.04490098602
124	0.04463497696
125	0.04430965874
126	0.04403958564
127	0.04391224224
128	0.04359071071
129	0.04312399476
130	0.04291553948
131	0.04262991935
132	0.04231399294
133	0.04191851067
134	0.04161758712
135	0.04137422947
136	0.04120936446
137	0.0407265529
138	0.04039197241
139	0.04005399537
140	0.03966299345
141	0.03939246723
142	0.03915222569
143	0.0389179298
144	0.03874367381
145	0.03845697723
146	0.03822768547
147	0.03802790623
148	0.03765408201
149	0.03749678527
150	0.03728477035
151	0.03704974047
152	0.03682815624
153	0.03657142123
154	0.03639552122
155	0.03621702664
156	0.03609516033
157	0.0358709085
158	0.03554465672
159	0.03526528306
160	0.03506424864
161	0.03492923026
162	0.03470921454
163	0.03448528208
164	0.03428733808
165	0.03404138794
166	0.0338069662
167	0.03366493831
168	0.03345166628
169	0.03332656705
170	0.03311738126
171	0.03294433196
172	0.03270822428
173	0.0325779097
174	0.03242241137
175	0.03229560175
176	0.03214367977
177	0.03197312853
178	0.03179929982
179	0.03164152927
180	0.03145039725
181	0.03124179161
182	0.03110896587
183	0.03087112107
184	0.0306880447
185	0.03057668231
186	0.03045007104
187	0.03035280794
188	0.03013515664
189	0.02993474125
190	0.02984411724
191	0.02969803373
192	0.02953608371
193	0.02932259215
194	0.02916031045
195	0.02901612687
196	0.02882305957
197	0.02871443719
198	0.02855882143
199	0.02842695603
200	0.0283163626
201	0.02814547851
202	0.02804500239
203	0.02788598005
204	0.02773833475
205	0.02761395543
206	0.02749438974
207	0.02730834761
208	0.02721865426
209	0.02703352573
210	0.02687430865
211	0.02674135533
212	0.0266443365
213	0.02653324304
214	0.02635355351
215	0.0262032846
216	0.02611271757
217	0.02600572195
218	0.02582398873
219	0.02566846707
220	0.0255943991
221	0.02548475735
222	0.02537039612
223	0.02526882188
224	0.02513898604
225	0.02501814285
226	0.02489826992
227	0.02480979339
228	0.02474086712
229	0.02465387865
230	0.02448764686
231	0.02438748821
232	0.02417839354
233	0.02404847909
234	0.02389171266
235	0.02375783369
236	0.02360028915
237	0.02341291909
238	0.02326792444
239	0.02312527185
240	0.02301568484
